,movie_title,year,place,star_cast,rating,vote,link
210,Barry Lyndon,1975,211,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.053395644708006,,/title/tt0072684/
211,The Red Shoes,1948,212,"Michael Powell (dir.), Anton Walbrook, Marius Goring",8.052952537003618,,/title/tt0040725/
212,Rang De Basanti,2006,213,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.052891006082202,,/title/tt0405508/
213,Hachi: A Dog's Tale,2009,214,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.052841303405902,,/title/tt1028532/
214,Logan,2017,215,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.05188499825779,,/title/tt3315342/
215,Andrei Rublev,1966,216,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.050856064358088,,/title/tt0060107/
216,Ben-Hur,1959,217,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.050690526943868,,/title/tt0052618/
217,Kaze no tani no Naushika,1984,218,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.046969970257281,,/title/tt0087544/
218,Les quatre cents coups,1959,219,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.046126759446357,,/title/tt0053198/
219,Hotel Rwanda,2004,220,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.046008503555681,,/title/tt0395169/
220,Harry Potter and the Deathly Hallows: Part 2,2011,221,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.045709373525723,,/title/tt1201607/
221,Amores perros,2000,222,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.045549186298325,,/title/tt0245712/
222,Dead Poets Society,1989,223,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.04416331762673,,/title/tt0097165/
223,Spotlight,2015,224,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.043949194117834,,/title/tt1895587/
224,White Heat,1949,225,"Raoul Walsh (dir.), James Cagney, Virginia Mayo",8.037614676143255,,/title/tt0042041/
225,Ace in the Hole,1951,226,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",8.037608644600201,,/title/tt0043338/
226,Rebecca,1940,227,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.036648830432718,,/title/tt0032976/
227,Rocky,1976,228,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.034362574305213,,/title/tt0075148/
228,"Monsters, Inc",2001,229,"Pete Docter (dir.), Billy Crystal, John Goodman",8.029291717252939,,/title/tt0198781/
229,Ah-ga-ssi,2016,230,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.028179548640397,,/title/tt4016934/
230,It Happened One Night,1934,231,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.027215830696663,,/title/tt0025316/
231,La haine,1995,232,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.026808847153237,,/title/tt0113247/
232,Lagaan: Once Upon a Time in India,2001,233,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",8.021339798266531,,/title/tt0169102/
233,Gangs of Wasseypur,2012,234,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.02127844152747,,/title/tt1954470/
234,The Princess Bride,1987,235,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.016834722254657,,/title/tt0093779/
235,PK,2014,236,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",8.013359780465326,,/title/tt2338151/
236,Before Sunset,2004,237,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.011936428296826,,/title/tt0381681/
237,Butch Cassidy and the Sundance Kid,1969,238,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.011795929785649,,/title/tt0064115/
238,The Help,2011,239,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.011725529261957,,/title/tt1454029/
239,The Terminator,1984,240,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.009982872707177,,/title/tt0088247/
240,Faa yeung nin wa,2000,241,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.00953433627157,,/title/tt0118694/
241,Akira,1988,242,"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",8.009420376248263,,/title/tt0094625/
242,"Paris, Texas",1984,243,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.007875933073855,,/title/tt0087884/
243,Munna Bhai MBBS,2003,244,"Rajkumar Hirani (dir.), Sanjay Dutt, Arshad Warsi",8.007828107758591,,/title/tt0374887/
244,Aladdin,1992,245,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.005471150126432,,/title/tt0103639/
245,Mou gaan dou,2002,246,"Andrew Lau (dir.), Andy Lau, Tony Chiu-Wai Leung",8.004159846672172,,/title/tt0338564/
246,Guardians of the Galaxy,2014,247,"James Gunn (dir.), Chris Pratt, Vin Diesel",8.004142648795082,,/title/tt2015381/
247,La battaglia di Algeri,1966,248,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.00352128133598,,/title/tt0058946/
248,La leggenda del pianista sull'oceano,1998,249,"Giuseppe Tornatore (dir.), Tim Roth, Pruitt Taylor Vince",8.003387396172679,,/title/tt0120731/
249,"Swades: We, the People",2004,250,"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi",8.003166599656756,,/title/tt0367110/
