,movie_title,year,place,star_cast,rating,vote,link
48,Casablanca,1942,49,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.441003989149268,,/title/tt0034583/
49,Hotaru no haka,1988,50,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.437071672412497,,/title/tt0095327/
50,Rear Window,1954,51,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.429630266264901,,/title/tt0047396/
51,Nuovo Cinema Paradiso,1988,52,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.426460540925238,,/title/tt0095765/
52,Alien,1979,53,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.424709718036857,,/title/tt0078748/
53,Raiders of the Lost Ark,1981,54,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.422814128501422,,/title/tt0082971/
54,Memento,2000,55,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.420462053538955,,/title/tt0209144/
55,Apocalypse Now,1979,56,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.419671458414022,,/title/tt0078788/
56,Avengers: Endgame,2019,57,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.414080505500324,,/title/tt4154796/
57,The Great Dictator,1940,58,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.413599876512368,,/title/tt0032553/
58,The Lives of Others,2006,59,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.394830026959854,,/title/tt0405094/
59,Django Unchained,2012,60,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.388374532792897,,/title/tt1853728/
60,Avengers: Infinity War,2018,61,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.382529414557798,,/title/tt4154756/
61,The Shining,1980,62,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.373758597210582,,/title/tt0081505/
62,Paths of Glory,1957,63,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.372576644692625,,/title/tt0050825/
63,Spider-Man: Into the Spider-Verse,2018,64,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.369484716140082,,/title/tt4633694/
64,WALL·E,2008,65,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.365533440553284,,/title/tt0910970/
65,Sunset Blvd,1950,66,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.360637975359735,,/title/tt0043014/
66,Mononoke-hime,1997,67,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.360603170728337,,/title/tt0119698/
67,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,68,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.360229574207661,,/title/tt0057012/
68,Oldeuboi,2003,69,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",8.350452843214192,,/title/tt0364569/
69,Witness for the Prosecution,1957,70,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.3484972697131,,/title/tt0051201/
70,The Dark Knight Rises,2012,71,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.33982331885145,,/title/tt1345836/
71,Once Upon a Time in America,1984,72,"Sergio Leone (dir.), Robert De Niro, James Woods",8.33257720772625,,/title/tt0087843/
72,Aliens,1986,73,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.328933096669006,,/title/tt0090605/
73,American Beauty,1999,74,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.317359592638779,,/title/tt0169547/
74,Kimi no na wa,2016,75,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.317139138362096,,/title/tt5311514/
75,Coco,2017,76,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.31512522107643,,/title/tt2380307/
